section,metric,value
meta,timestamp_utc,20250913T202917Z
meta,total_time_seconds,2.4698517322540283
core,size_8_ms_median,0.0211
core,size_16_ms_median,0.0086
core,size_32_ms_median,0.00925
core,size_64_ms_median,0.25855
core,size_128_ms_median,0.22305
core,size_256_ms_median,0.5019
core,size_512_ms_median,1.2156500000000001
