# Wave Computer Benchmark Results
"# Columns: Modes, RFT_MSE, FFT_MSE"
Modes,RFT_MSE,FFT_MSE
1,0.01334663645999936,0.01334744057247415
3,0.0066686754147362625,0.010206369559922608
5,3.536733188120628e-33,0.007117164964564402
10,2.1594664653555936e-31,0.0027093812039244124
20,2.7229515777155154e-31,0.0012533939481149004
32,2.8068090012513e-31,0.0005250187022044259
64,2.861099292872154e-31,5.883459979473915e-34
