# N RFT_time FFT_time DCT_time
64 2.930448e-05 7.443500e-06 5.019780e-06
128 3.443666e-05 8.109540e-06 5.231980e-06
256 4.224404e-05 9.049500e-06 5.794020e-06
512 6.102006e-05 1.120832e-05 6.801300e-06
1024 9.345820e-05 1.622426e-05 8.725480e-06
